id,status_of_project,label,planning_approval_street_no,planning_approval_street_name,zip,section_415_declaration_of_intent,section_415_declaration_label,tenure,total_units_in_building_or_phase,final_bmr_on_site,final_bmr_off_site,off_site_units_at_this_site,total_bmr_s_in_this_building_or_phase,principal_project_address,off_site_address,lottery_date,entitlement_yr,building_completion_calendar_year,description,latitude,longitude,location_address,location_city,location_state,location_zip
300,Completed,77 Van Ness Avenue,77,Van Ness Avenue,94103,ON,On-Site BMR Project,Ownership,50,6,0,0,6,,,40059,2002,2009,"77 Van Ness Avenue, San Francisco, CA 94103",37.77372054,-122.4187867,77 Van Ness Avenue,San Francisco,CA,94103
107,Completed,Yerba Buena Lofts,855,Folsom Street,94107,ON,On-Site BMR Project,Ownership,200,20,0,0,20,,,37976,1999,2002,"855 Folsom Street, San Francisco, CA 94107",37.78079785,-122.4027008,855 Folsom Street,San Francisco,CA,94107
152,BP Issued,650 Indiana,650,Indiana Street,94107,ON,On-Site BMR Project,Rental,111,16,0,0,16,,,,2014,,"650 Indiana Street, San Francisco, CA 94107",37.7622564,-122.3916381,650 Indiana Street,San Francisco,CA,94107
247,Entitled,1731 Powell Street,1731,Powell Street,94133,FEE,Fee BMR Project,Unknown,19,0,0,0,0,,,,2013,,"1731 Powell Street, San Francisco, CA 94133",37.80070467,-122.4109534,1731 Powell Street,San Francisco,CA,94133
161,Entitled,180 Jones Street / 181 Turk Street,180,Jones Street,94102,ON,On-Site BMR Project,Unknown,37,4,0,0,4,,,,2009,,"180 Jones Street, San Francisco, CA 94102",37.78278784,-122.4123362,180 Jones Street,San Francisco,CA,94102
290,First Const Doc Issued,899 Valencia Street,899,Valencia Street,94110,FEE,Fee BMR Project,Unknown,18,0,0,0,0,,,,2011,,"899 Valencia Street, San Francisco, CA 94110",37.75873396,-122.4212445,899 Valencia Street,San Francisco,CA,94110
209,Completed,2200 Mission Street,2200,Mission Street,94110,ON,On-Site BMR Project,Ownership,23,3,0,0,3,,,39786,2001,2009,"2200 Mission Street, San Francisco, CA 94110",37.76162734,-122.4193835,2200 Mission Street,San Francisco,CA,94110
302,Completed,Marlow,1800,Van Ness Avenue,94109,ON,On-Site BMR Project,Ownership,98,15,0,0,15,,,41617,2011,2014,"1800 Van Ness Avenue, San Francisco, CA 94109",37.79235754,-122.4226157,1800 Van Ness Avenue,San Francisco,CA,94109
281,Entitled,815-825 Tennessee,815-825,Tennessee Street,94107,ON,On-Site BMR Project,Ownership,69,10,0,0,10,,,,2014,,"815 Tennessee Street, San Francisco, CA 94107",37.76149367,-122.3895544,815 Tennessee Street,San Francisco,CA,94107
185,Completed,"NEMA, Phase II (North Tower)",1407-1435,Market Street,94103,ON,On-Site BMR Project,Rental,437,52,0,0,52,,,41799,2007,2014,"1407 Market Street, San Francisco, CA 94103",37.77640353,-122.4176405,1407 Market Street,San Francisco,CA,94103
4,Entitled,2051 3rd Street,2051,03rd Street,94107,ON,On-Site BMR Project,Rental,93,12,0,0,12,,,,2014,,"2051 3rd Street, San Francisco, CA 94107",37.76376252,-122.3886844,2051 3rd Street,San Francisco,CA,94107
279,Entitled,41 Tehama,41,Tehama Street,94105,ON,On-Site BMR Project,Ownership,325,49,0,0,49,,,,2012,,"41 Tehama Street, San Francisco, CA 94105",37.78735779,-122.3963909,41 Tehama Street,San Francisco,CA,94105
274,Completed,2000 Post III,2161,Sutter Street,94115,ON,On-Site BMR Project,Rental,24,3,0,0,3,,,39658,2003,2007,"2161 Sutter Street, San Francisco, CA 94115",37.78573307,-122.4358761,2161 Sutter Street,San Francisco,CA,94115
46,Completed,USF - Loyola Village,600,Anza Blvd,94118,ON,On-Site BMR Project,Rental,136,17,0,0,17,,,,1997,2002,"600 Anza Blvd, San Francisco, CA 94118",37.78038227,-122.4529879,600 Anza Blvd,San Francisco,CA,94118
245,Entitled,346 Potrero,346,Potrero Avenue,94103,ON,On-Site BMR Project,Rental,70,11,0,0,11,,,,2014,,"346 Potrero Avenue, San Francisco, CA 94103",37.76515678,-122.4075242,346 Potrero Avenue,San Francisco,CA,94103
168,First Const Doc Issued,1601 Larkin Street,1601,Larkin Street,94109,FEE,Fee BMR Project,Unknown,27,0,0,0,0,,,,2013,,"1601 Larkin Street, San Francisco, CA 94109",37.79281385,-122.419493,1601 Larkin Street,San Francisco,CA,94109
172,Completed,Magnolia Place,1888,Lombard Street,94123,ON,On-Site BMR Project,Rental,27,3,0,0,3,,,,1999,2001,"1888 Lombard Street, San Francisco, CA 94123",37.80032787,-122.4324435,1888 Lombard Street,San Francisco,CA,94123
24,Completed,2421 16th Street,2401,16th Street,94103,ON,On-Site BMR Project,Ownership,12,1,0,0,1,,,42073,2011,2014,"2401 16th Street, San Francisco, CA 94103",37.76555316,-122.4107783,2401 16th Street,San Francisco,CA,94103
182,First Const Doc Issued,2175 Market Street,2175,Market Street,94114,ON,On-Site BMR Project,Rental,88,13,0,0,13,,,,2012,,"2175 Market Street, San Francisco, CA 94114",37.76639778,-122.4301804,2175 Market Street,San Francisco,CA,94114
122,Completed,118 Wood Street,2743-2761,Geary Blvd.,94103,ON,On-Site BMR Project,Rental,22,2,0,0,2,,,,1998,1999,"2743 Geary Blvd., San Francisco, CA 94118",37.78214372,-122.4487356,2743 Geary Blvd,San Francisco,CA,94118
119,Completed,6900 Geary Blvd,6900,Geary Blvd. (aka 499 33rd Ave.),94121,ON,On-Site BMR Project,Rental,17,2,0,0,2,,,,2000,2004,"6900 Geary Blvd., San Francisco, CA 94121",37.77971816,-122.4936608,6900 Geary Blvd,San Francisco,CA,94121
