GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US06075060400,06075060400,"Census Tract 604, San Francisco County, California",1056,59,163,40,893,71
1400000US06075060502,06075060502,"Census Tract 605.02, San Francisco County, California",941,73,202,42,739,74
1400000US06075060700,06075060700,"Census Tract 607, San Francisco County, California",4717,215,1693,285,3024,293
1400000US06075061000,06075061000,"Census Tract 610, San Francisco County, California",1497,99,878,132,619,148
1400000US06075061100,06075061100,"Census Tract 611, San Francisco County, California",2007,109,84,42,1923,109
1400000US06075061200,06075061200,"Census Tract 612, San Francisco County, California",1130,104,454,98,676,121
1400000US06075061400,06075061400,"Census Tract 614, San Francisco County, California",2437,172,1030,204,1407,211
1400000US06075061500,06075061500,"Census Tract 615, San Francisco County, California",6793,548,2750,454,4043,552
1400000US06075980200,06075980200,"Census Tract 9802, San Francisco County, California",68,18,31,17,37,17
1400000US06075980300,06075980300,"Census Tract 9803, San Francisco County, California",41,23,0,12,41,23
1400000US06075980401,06075980401,"Census Tract 9804.01, San Francisco County, California",0,12,0,12,0,12
1400000US06075980501,06075980501,"Census Tract 9805.01, San Francisco County, California",293,80,72,27,221,77
1400000US06075980600,06075980600,"Census Tract 9806, San Francisco County, California",138,31,94,29,44,22
1400000US06075980900,06075980900,"Census Tract 9809, San Francisco County, California",139,48,18,13,121,47
1400000US06075990100,06075990100,"Census Tract 9901, San Francisco County, California",0,12,0,12,0,12
