label,Status,description,longitude,latitude,geo_accuracy,Neighborhood,Section 415 Declaration,Category,Tenure,Total Principal Project Units,Final BMR On-Site,Total inclusionary units off-site,Total inclusionary units at this location,Units For,Principal Project,Off-site address,Lottery Date,Entitlement year,Building completion year
2829 California,Completed,"2829 California  Street, San Francisco, CA 94115",-122.4409664,37.78791686,house,Western Addition,ON,On-site,Ownership,12,2,0,2,On-Site,2829 California,,12/7/12,2008,2012
376 Castro Street,Entitled,"376 Castro Street, San Francisco, CA 94114",-122.4353212,37.7629951,house,Castro/Upper Market,ON,On-site,Ownership,24,3,0,3,On-Site,376 Castro Street,,Pending,2012,
555 Bartlett,Completed,"3400 Cesar Chavez Street, San Francisco, CA 94110",-122.418375,37.74825,house,Mission,ON,On-site,Ownership,58,9,0,9,On-Site,555 Bartlett,,3/31/10,2007,2010
Villa North Beach,Completed,"690 Chestnut Street, San Francisco, CA",-122.4146301,37.80365754,house,North Beach,ON,On-site,Ownership,117,4,0,4,On-Site,Villa North Beach,,,1994,1997
520 Chestnut Street,Completed,"520 Chestnut Street, San Francisco, CA",-122.4120179,37.80399222,house,North Beach,ON,On-site,Ownership,20,2,0,2,On-Site,520 Chestnut Street,,4/30/07,2004,2007
745 Clement ,Completed,"741 Clement Street, San Francisco, CA 94118",-122.4670212,37.78274653,house,Inner Richmond,ON,On-site,Ownership,14,1,0,1,On-Site,745 Clement ,,,2000,2004
470 Clementina,Completed,"470 Clementina Street, San Francisco, CA",-122.4055479,37.77954029,house,SOMA,ON,On-site,Ownership,12,1,0,1,On-Site,470 Clementina,,8/9/05,2005,2005
69 Clementina,Completed,"69 Clementina Street, San Francisco, CA 94105",-122.396481,37.786442,house,Financial District,ON,On-site,Ownership,18,2,0,2,On-Site,69 Clementina,,1/30/06,2003,2005
436 Clementina,Completed,"436 Clementina Street, San Francisco, CA",-122.404847,37.78008949,house,SOMA,ON,On-site,Rental,20,3,0,3,On-Site,436 Clementina,,6/20/09,2003,2008
Clipper Street,Completed,"672 Clipper , San Francisco, CA 94114",-122.4394479,37.74873432,house,Noe Valley,ON,On-site,Ownership,24,2,0,2,On-Site,Clipper Street,,,1997,2001
55 Trumbell,Completed,"4 Craut Street, San Francisco, CA 94112",-122.4284836,37.73065567,house,Excelsior,ON,On-site,Rental,18,2,0,2,On-Site,55 Trumbell,,,2005,2011
"Candlestick Point - The Cove, Phase I",Completed,"1  Crescent Way , San Francisco, CA 94134",-122.390686,37.711082,house,Bayview,ON,On-site,Ownership,128,14,0,14,On-Site,"Candlestick Point - The Cove, Phase I",,12/1/03,2002,2001
"Candlestick Point - The Cove,  Phase II",Completed,"301 Crescent Way , San Francisco, CA 94134",-122.3895787,37.71104571,house,Bayview,ON,On-site,Ownership,176,18,0,18,On-Site,"Candlestick Point - The Cove,  Phase II",,6/23/06,2005,2007
606-624 Divisadero Street/1728 Hayes Street,Entitled,"606 Divisadero Street , San Francisco, CA 94117",-122.4377297,37.77516918,house,Western Addition,ON,On-site,Unknown,18,2,0,2,On-Site,606-624 Divisadero Street/1728 Hayes Street,,Pending,2004,
1598 Dolores,Completed,"1598 Dolores Street, San Francisco, CA 94110",-122.424632,37.744692,house,Noe Valley,ON,On-site,Ownership,13,1,0,1,On-Site,1598 Dolores,,11/22/06,2005,2004
25-35 Dolores Street,BP Issued,"25 Dolores Street, San Francisco, CA",-122.4265731,37.76863615,house,Mission,ON,On-site,Ownership,37,4,0,4,On-Site,25-35 Dolores Street,,Pending,2011,
30 Dore Street ,Completed,"30 Dore Street , San Francisco, CA 94103",-122.4134112,37.77398205,house,SOMA,ON,On-site,Rental,42,4,0,4,On-Site,30 Dore Street ,,5/22/07,2005,2007
149 Fair Oaks,Completed,"149 Fair Oaks St, San Francisco, CA",-122.4241108,37.75432435,house,Mission,ON,On-site,Rental,12,1,0,1,On-Site,149 Fair Oaks,,,2001,2002
280 Fell / 300 Gough,Completed,"280 Fell Street, San Francisco, CA 94102",-122.4224062,37.77608222,house,Downtown/Civic Center,ON,On-site,Rental,34,4,0,4,On-Site,280 Fell / 300 Gough,,,1998,2000
Broderick Place,Completed,"1275 Fell Street  , San Francisco, CA 94117",-122.4387742,37.77382886,house,Haight Ashbury,ON,On-site,Ownership,70,8,0,8,On-Site,Broderick Place,,8/8/06,2003,2007
Yerba Buena Lofts,Completed,"855 Folsom Street, San Francisco, CA 94107",-122.4022594,37.7807008,house,SOMA,ON,On-site,Ownership,200,20,0,20,On-Site,Yerba Buena Lofts,,12/21/03,1999,2002
Shipley Square,Completed,"821 Folsom Street, San Francisco, CA 94107",-122.4015395,37.78160775,house,SOMA,ON,On-site,Ownership,78,8,0,8,On-Site,Shipley Square,,3/18/06,2004,2004
The Folsom Lantern,Completed,"1168 Folsom Street, San Francisco, CA",-122.4095283,37.7757491,house,SOMA,ON,On-site,Rental,22,1,0,1,On-Site,The Folsom Lantern,,4/23/05,2003,2005
