label,Status,description,longitude,latitude,Tenure,Total Principal Project Units,Final BMR On-Site,Final BMR Off-Site,Total inclusionary units at this location,Units For,Principal project triggering inclusionary requirement,Entitlement year,Building completion year
The Century,Completed,"2200 Market Street , San Francisco, CA 94114",-122.431625,37.7657169,Ownership,22,3,0,3,On-Site,The Century,2008,2014
Venn,Completed,"1844 Market Street  , San Francisco, CA 94102",-122.4244319,37.77146405,Rental,113,14,0,14,On-Site,Venn,2006,2013
Village at Petrini Place ,Completed,"2001 McAllister Street , San Francisco, CA 94117",-122.4451488,37.77701848,Ownership,134,13,0,13,On-Site,Village at Petrini Place ,1999,2004
8 McLea Court,Completed,"8 McLea Court, San Francisco, CA 94103",-122.4085313,37.77228388,Rental ,102,3,0,3,On-Site,8 McLea Court,2004,2007
Potrero Square,Completed,"701 Minnesota , San Francisco, CA 94107",-122.390458,37.761535,Ownership,58,5,0,5,On-Site,Potrero Square,1991,1993
The Bouganvillea,Completed,"5810 Mission Street, San Francisco, CA 94112",-122.4512206,37.70938798,Ownership,27,3,0,3,On-Site,The Bouganvillea,1992,1998
Tiffany Gardens,Completed,"3249 Mission Street, San Francisco, CA 94110",-122.4203059,37.74476656,Rental ,33,3,0,3,On-Site,Tiffany Gardens,2001,2004
Mission Valencia (FNA Valencia Triangle),Completed,"3184 Mission Street, San Francisco, CA 94110",-122.419668,37.746111,Ownership,20,2,0,2,On-Site,Mission Valencia (FNA Valencia Triangle),2004,2006
1587 15th Street,Completed,"1905 Mission Street, San Francisco, CA 94110",-122.4195544,37.76649865,Ownership,24,3,0,3,On-Site,1587 15th Street,2004,2007
SOMA Grand,Completed,"1160 Mission Street, San Francisco, CA 94103",-122.412376,37.77819,Ownership,246,29,0,29,On-Site,SOMA Grand,2003,2008
2200 Mission Street,Completed,"2200 Mission Street, San Francisco, CA 94110",-122.419451,37.761707,Ownership,23,3,0,3,On-Site,2200 Mission Street,2001,2009
Vara,Completed,"1880 Mission Street, San Francisco, CA 94110",-122.4199652,37.76703969,Rental,202,40,0,40,On-Site,Vara,2009,2013
1875 Mission Street,First Const Doc Issued,"1875 Mission Street, San Francisco, CA 94110",-122.4197663,37.76713459,Ownership,39,6,0,6,On-Site,1875 Mission Street,2012,
1415 Mission Street,BP Issued,"1415 Mission Street, San Francisco, CA 94103",-122.4160844,37.77501657,Rental,117,18,0,18,On-Site,1415 Mission Street,2009,
5050 Mission Street ,Entitled,"5050 Mission Street, San Francisco, CA 94112",-122.440275,37.7176,Unknown,61,9,0,9,On-Site,5050 Mission Street ,2008,
1099 Mississippi,Completed,"1099 Mississippi Street, San Francisco, CA 94107",-122.393528,37.752614,Ownership,10,1,0,1,On-Site,1099 Mississippi,1995,2004
1000 Mississippi Street (1001 Texas) ,Entitled,"1000 Mississippi Street , San Francisco, CA 94107",-122.393807,37.753349,Unknown,28,4,0,4,On-Site,1000 Mississippi Street (1001 Texas) ,2008,
