label,latitude,longitude,accuracy,status
601 King Street (aka 888 7th St.) 94107,37.770553,-122.400405,9,Completed
8 Landers Street 94114,37.767556,-122.427979,9,Completed
40-50 Lansing (aka 50 Lansing or 40 Lansing) 94105,37.789018,-122.391506,3,Completed
81 Lansing Street 94105,37.785731,-122.394284,9,Completed
45 Lansing Street 94105,37.786,-122.393867,9,First Const Doc Issued
1601 Larkin Street 94109,37.792779,-122.419763,9,Entitled
545 Leavenworth 94109,37.786108,-122.414958,9,Completed
1888 Lombard Street 94123,37.800386,-122.432463,8,Completed
2298 Lombard Street 94123,37.799712,-122.439177,9,Completed
2353 Lombard Street 94123,37.79911,-122.44012,9,Entitled
25 Lusk 94107,37.778526,-122.394353,9,Entitled
430 Main Street 94105,37.787517,-122.390055,9,Entitled
1130 Mariposa Street 94109,37.764163,-122.3953,9,Completed
2299 Market Street 94114,37.764261,-122.432886,8,Completed
2001 Market Street 94114,37.768318,-122.427109,9,Completed
690 Market Street 94108,37.788252,-122.403079,9,Completed
1960-1998 Market Street 94114,37.769864,-122.426407,9,Completed
1167 Market Street 94103,37.77908,-122.413549,9,Completed
1167 Market Street 94103,37.77908,-122.413549,9,Completed
1407-1435 Market Street 94103,37.77619,-122.41796,8,Completed
1600 Market Street 94102,37.774076,-122.421044,9,Completed
938-942 Market Street 94102,37.783603,-122.408622,8,Completed
1167 Market Street 94103,37.77908,-122.413549,9,Completed
1407-1435 Market Street,34.236885,-77.930415,8,First Const Doc Issued
2175 Market Street 94114,37.766286,-122.429913,9,First Const Doc Issued
1167 Market Street 94103,37.77908,-122.413549,9,Completed
1390 Market Street 94102,37.77737,-122.417193,9,Entitled
555 and 575 Market Street 94105,37.78966,-122.400436,9,Entitled
715-19 Market Street 94103,37.787037,-122.403883,9,Entitled
2200 Market Street 94114,37.765832,-122.431459,9,Completed
973 Market Street 94102,37.783213,-122.409074,8,First Const Doc Issued
1844 Market Street 94102,37.771457,-122.424547,9,Completed
125 Mason Street 94102,37.784802,-122.409747,9,Completed
2001 McAllister Street 94117,37.776381,-122.44569,9,Completed
83 - 91 McAllister Street 94117,37.7807,-122.41327,9,Completed
68 McCoppin 94103,37.771859,-122.421864,9,Completed
8 McLea Court 94103,37.772347,-122.408458,9,Completed
701 Minnesota 94107,37.76139,-122.390378,9,Completed
900 Minnesota Street 94107,37.759755,-122.390488,9,Completed
301 Mission Street 94105,37.790834,-122.395879,9,Completed
5810 Mission Street 94112,37.709533,-122.45139,9,Completed
3249 Mission Street 94110,37.744851,-122.420348,8,Completed
3184 Mission Street 94110,37.746134,-122.419761,9,Completed
1905 Mission Street 94110,37.766511,-122.419539,9,Completed
1160 Mission Street 94103,37.77839,-122.412238,9,Completed
2200 Mission Street 94110,37.761699,-122.419651,9,Completed
1880-1886 Mission Street 94110,37.766918,-122.42082,9,Completed
5735-5757 Mission Street 94112,37.709766,-122.449857,8,Entitled
706 Mission Street 94103,37.786254,-122.402128,8,Entitled
2554-2558 Mission Street 94110,37.755988,-122.419101,9,First Const Doc Issued
1875 Mission Street 94110,37.767101,-122.419446,9,First Const Doc Issued
1415 Mission Street 94103,37.774897,-122.415912,9,BP Issued
1321 Mission Street 94105,37.776009,-122.414982,8,First Const Doc Issued
5050 Mission Street 94112,37.717635,-122.440523,9,Entitled
1400 Mission Street 94103,37.775286,-122.41596,8,First Const Doc Issued
1099 Mississippi Street 94107,37.752727,-122.393331,9,Completed
1000 Mississippi Street (aka 1001 Texas) 94107,37.761824,-122.398587,3,Entitled
639 Missouri Street (aka 25 Sierra) 94107,37.761824,-122.398587,3,Completed
843-847 Montgomery Street 94133,37.796975,-122.403659,8,Completed
75 Moss Street 94103,37.777621,-122.407565,9,Completed
574 Natoma Street 94103,37.779022,-122.409493,9,Completed
537 Natoma Street 94103,37.779383,-122.408459,9,Completed
199 New Montgomery 94105,37.786606,-122.399099,9,Completed
74 New Montgomery 94105,37.787535,-122.401149,9,Completed
134-140 New Montgomery Street 94105,37.786664,-122.399774,9,Entitled
"2601 Newhall, Armstrong, Orsi, Williams, Lydia, Bitting, Kalmanovitz 94124",37.727444,-122.396806,5,Completed
248 Ocean Avenue 94112,37.723444,-122.442083,9,Completed
98 Ocean Avenue 94112,37.723609,-122.438821,8,Completed
