Proj_Key,label,Address Number,Street,Zipcode,description,longitude,latitude,geo_accuracy,Sponsor,Affordable Units,Beds,Target Population,status,Affordability Requirement Year
491,Cecil Williams Glide Community House,333,Taylor,94102,333 Taylor San Francisco CA 94102,-122.411262,37.785364,0.868,Glide,52,0,Families,Completed,1999
515,College Park Apts,3265,26th Street,94110,3265 26th Street San Francisco CA 94110,-122.415195,37.749288,0.76,Gaehwiler Construction,26,0,Families,Completed,1993
517,John W. King Senior Community,500,Raymond,94134,500 Raymond San Francisco CA 94134,-122.413601,37.714987,0.856,Mercy Housing,91,0,Seniors,Completed,2002
880,The Arc Apartments,416,Bay St,94133,416 Bay St San Francisco CA 94133,-122.413826,37.805658,0.966,The ARC,8,0,Families,Completed,2001
957,Monterey Boulevard Apartments,403,Monterey,94127,403 Monterey San Francisco CA 94127,-122.444337,37.731443,0.848,BHNC,4,0,Families,Completed,1997
961,Crocker Amazon Senior Apartments,5199,Mission St,94112,5199 Mission St San Francisco CA 94112,-122.44169,37.715573,0.955,BHNC,38,0,Seniors,Completed,2005
965,Canon Barcus Community House,670,Natoma Street,94103,670 Natoma Street San Francisco CA 94103,-122.411244,37.777215,0.949,Episcopal Community Services,48,0,Families,Completed,2002
966,Presentation Senior Community,301,Ellis St,94102,301 Ellis St San Francisco CA 94102,-122.41114,37.785074,0.96,Mercy Housing,92,0,Seniors,Completed,2001
979,Monsignor Lyne Community,118,Diamond St,94114,118 Diamond St San Francisco CA 94114,-122.437244,37.760457,0.955,Mercy Housing,20,0,Seniors,Completed,1989
986,26th Street Cooperative Apartments,3327,26th Street,94110,3327 26th Street San Francisco CA 94110,-122.416519,37.749137,0.76,Conard House,0,16,Singles,Completed,2002
992,La Playa Apartments,770,La Playa,94121,770 La Playa San Francisco CA 94121,-122.510019,37.773796,0.88,Progress Foundation,13,0,Families,Completed,2005
993,Ellis Street Apartments,864,Ellis St,94109,864 Ellis St San Francisco CA 94109,-122.420224,37.783969,0.96,TNDC,25,0,Singles,Completed,2002
998,Autumn Glow,654,Grove St,94102,654 Grove St San Francisco CA 94102,-122.427182,37.777346,0.96,Self Help for the Elderly,,15,Seniors,Completed,2001
1002,MINNA PARK FAMILY HOUSING,529-539,MINNA ST,94103,529-539 MINNA ST San Francisco CA 94103,-122.408906,37.779692,0.863,ASIAN NEIGHBORHOOD DESIGN,26,0,Families,Completed,1996
1003,SOMA RESIDENCES,1045,MISSION ST,94103,1045 MISSION ST San Francisco CA 94103,-122.409447,37.780128,0.955,EMERALD FUND INC.,55,0,Singles & Families,Completed,2001
1005,LAUREL GARDENS APARTMENTS,1555,Turk St,94115,1555 Turk St San Francisco CA 94115,-122.434487,37.780097,0.963,BETHEL AFRICAN METHODIST EPISCOPAL CHURCH,51,0,Families,Completed,2001
1006,479 NATOMA STREET APARTMENTS,479,NATOMA ST,94103,479 NATOMA ST San Francisco CA 94103,-122.406967,37.780478,0.958,"ASIAN, INC.",30,0,Families,Completed,1997
1010,Rafiki House,1761,Turk St,94115,1761 Turk St San Francisco CA 94115,-122.438022,37.779669,0.963,Rafiki House,,11,Singles,Completed,1996
